price,AreA,bedrooms,BATHROOMS,stories,mainroad,guestroom,basement,hotwaterheating,air conditioning,parking,prefarea,furnishing STATUS,houSeaGe
4543000.0,4990.0,4.0,2.0,2.0,yes,yes,yes,no,no,0.0,yes,furnished,15.0
8080940.0,7000.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,FURNISHED,11.0
8750000.0,4321.0,3.0,2.0,2.0,yes,no,yes,yes,no,2.0,no,FURNISHED,
1890000.0,1700.0,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,
12215000.0,7500.0,4.0,2.0,2.0,yes,no,yes,no,yes,3.0,yes,furnished,
2275000.0,3970.0,3.0,1.0,2.0,yes,,yes,no,no,0.0,no,unfurnished,
8400000.0,5500.0,4.0,2.0,2.0,yes,no,yes,no,yes,1.0,yes,semi-furnished,
,3520.0,3.0,1.0,1.0,yes,no,no,no,no,0.0,yes,,
6230000.0,6600.0,3.0,2.0,1.0,yes,no,yes,no,yes,0.0,yes,unfurnished,
2730000.0,4000.0,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,unfurnished,
8043000.0,7482.0,3.0,2.0,3.0,yes,no,no,yes,no,1.0,yes,furnished,
6230000.0,5500.0,3.0,1.0,3.0,yes,no,no,no,no,1.0,yes,Furnished,
8750000.0,4320.0,3.0,1.0,2.0,yes,no,yes,yes,no,2.0,no,semi-furnished,
8575000.0,8800.0,,3.0,2.0,yes,no,no,no,yes,2.0,no,furnished,
8400000.0,7951.0,5.0,3.0,2.0,yes,no,yes,yes,no,,no,unfurnished,
3430000.0,4000.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,
5250000.0,4260.0,4.0,1.0,2.0,yes,no,yes,no,yes,0.0,no,furnished,
4900000.0,4520.0,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,no,semi-furnished,
4760000.0,9166.0,2.0,1.0,1.0,yes,no,yes,no,yes,2.0,no,semi-furnished,
,7000.0,3.0,2.0,4.0,,no,no,no,yes,2.0,no,FURNISHED,
2240000.0,1950.0,3.0,1.0,1.0,no,no,no,yes,no,0.0,no,unfurnished,
2660000.0,2800.0,3.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,
8645000.0,4560.0,3.0,3.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,
8540000.0,6541.0,4.0,2.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished,
4550000.0,2550.0,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,furnished,
3010000.0,4600.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,furnished,
3990000.0,3960.0,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,furnished,
8680000.0,7155.0,3.0,2.0,1.0,yes,yes,yes,no,yes,2.0,no,unfurnished,
2961000.0,3000.0,2.0,,,yes,no,no,no,no,0.0,no,semi-furnished,
4060000.0,5900.0,4.0,2.0,2.0,no,no,yes,no,no,1.0,no,unfurnished,
2660000.0,3934.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,
8400000.0,8876.0,3.0,2.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished,
4060000.0,3000.0,4.0,1.0,3.0,yes,no,yes,no,yes,2.0,no,semi-furnished,
3290000.0,4040.0,2.0,1.0,1.0,yes,no,no,,no,0.0,,,
2380000.0,2475.0,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,furnished,
5250000.0,9800.0,4.0,2.0,2.0,yes,yes,,no,no,2.0,no,semi-furnished,
5110000.0,6100.0,3.0,1.0,1.0,yes,no,yes,no,,0.0,yes,,
6300000.0,6400.0,3.0,1.0,1.0,yes,yes,yes,no,yes,1.0,yes,semi-furnished,
8120000.0,6841.0,5.0,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,
6755000.0,6000.0,4.0,2.0,4.0,yes,no,no,no,yes,0.0,no,unfurnished,
7350000.0,6001.0,4.0,2.0,4.0,yes,yes,no,no,yes,1.0,no,furnished,
8043000.0,7483.0,3.0,2.0,3.0,yes,no,no,yes,no,1.0,yes,furnished,
2275000.0,1836.0,2.0,1.0,1.0,no,no,yes,no,no,0.0,no,semi-furnished,
8750000.0,4321.0,,2.0,2.0,yes,no,yes,yes,no,2.0,,semi-furnished,
7070000.0,8880.0,2.0,1.0,1.0,yes,no,no,no,yes,1.0,no,semi-furnished,43.0
2660000.0,2430.0,3.0,1.0,1.0,no,no,,no,no,0.0,no,unfurnished,
4200000.0,5800.0,3.0,1.0,1.0,yes,no,no,yes,no,2.0,no,FURNISHED,
