,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hot_water_heating,airconditioning,parking,prefarea,furnishing_status_furnished,furnishing_status_semi-furnished,furnishing_status_unfurnished,furnishing_status_unknown,price
501,3800.0,3.0,1.0,2.0,1,1,1,0,0,1.0,1,False,False,True,False,5250000.0
442,8801.0,3.0,2.0,2.0,1,0,0,0,1,2.0,0,True,False,False,False,8575000.0
37,6400.0,3.0,1.0,1.0,1,1,1,0,1,1.0,1,False,True,False,False,6300000.0
88,6670.0,3.0,1.0,3.0,1,0,1,0,0,0.0,1,False,False,True,False,6510000.0
656,3540.0,2.0,1.0,1.0,0,1,1,0,0,0.0,0,False,True,False,False,5040000.0
362,7155.0,3.0,1.0,2.0,1,1,1,0,1,2.0,0,False,False,True,False,8680000.0
748,3620.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,False,False,True,False,1750000.0
259,7475.0,3.0,1.0,4.0,1,0,0,0,1,2.0,0,False,False,True,False,8400000.0
777,6541.0,4.0,3.0,2.0,1,1,1,0,1,2.0,1,True,False,False,False,8540000.0
110,7681.0,4.0,2.0,4.0,1,1,0,0,1,1.0,0,False,True,False,False,7210000.0
628,6000.0,4.0,2.0,4.0,1,0,0,0,0,1.0,0,False,True,False,False,6300000.0
260,6900.0,3.0,1.0,1.0,1,1,1,0,0,0.0,1,False,True,False,False,5523000.0
284,5751.0,3.0,2.0,4.0,1,1,0,0,1,1.0,1,False,False,True,False,9800000.0
214,7424.0,3.0,1.0,1.0,0,0,0,0,0,0.0,0,False,False,True,False,3500000.0
487,6000.0,4.0,3.0,2.0,1,0,0,0,1,1.0,1,False,False,False,True,8295000.0
458,3990.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,False,True,False,False,3500000.0
99,5360.0,3.0,1.0,2.0,1,0,0,0,0,2.0,1,False,False,True,False,4550000.0
558,3660.0,3.0,1.0,2.0,0,0,0,0,0,0.0,0,False,False,True,False,2940000.0
175,8100.0,2.0,1.0,1.0,1,0,0,0,0,1.0,0,False,False,True,False,3087000.0
311,4100.0,3.0,2.0,3.0,1,0,0,0,1,2.0,0,False,True,False,False,6300000.0
778,3520.0,3.0,1.0,2.0,1,0,0,0,0,0.0,1,False,True,False,False,4200000.0
